label,sentence1,sentence2
0,"Teresa tirou da bolsa um papel com uma oração, abaixou a cabeça e rezou. ",Abaixar a cabeça
0,"O medo é tanto que, até quando passa um pássaro por perto, a gente abaixa a cabeça, com medo de ser uma pedra. ",Abaixar a cabeça
0," É mais proeminente nas culturas asiáticas, mas também é típico da nobreza e aristocracia de muitos países e distintamente na Europa. Por vezes, o gesto pode ser limitado a abaixar a cabeça, como na Indonésia",Abaixar a cabeça
0,"Nesse dia, um fato curioso: ao final do show, João abaixou a cabeça e fechou seus olhos durante 20 minutos Ao final, levantou-se e agradeceu à plateia, dizendo ter beijado cada mão, cada coração presente ali",Abaixar a cabeça
0,"Ao final do primeiro ato, tem três pássaros que abaixam a cabeça para tentar te bicar Você deve esperar eles abaixarem a cabeça e atacá-la",Abaixar a cabeça
1,"Como rapper e telespectador que sou, quero manifestar o meu repúdio a cenas como esta, que, apesar da ótima produção, deixou a desejar no momento em que Kennedy o negro abaixou a cabeça às ofensas partidas de seu senhor feudal. ",Abaixar a cabeça
1,Atualmente precisa ser feito se não a situação continua a mesma e a gente têm que abaixar a cabeça e aceitar as atitudes dos verdadeiros vândalos que estão na administração,Abaixar a cabeça
1,Recomeçar não é fácil. Tem que abaixar a cabeça e ter muita humildade. Isso me torna mais forte e preparada,Abaixar a cabeça
1,"É um time de muita raça, aguerrido, que não abaixa a cabeça",Abaixar a cabeça
1,O ex-presidente Luiz Inácio Lula da Silva disse que não vai abaixar a cabeça e que se sentiu um prisioneiro durante a ação da Polícia Federal na manhã desta sexta-feira,Abaixar a cabeça
0,"Achei que ele iria morder, então joguei o véu, olhei nos olhos dele e o animal abriu a boca para soltar o rugido",Abrir a boca
0,"Em uma cena, a personagem Carly tenta abrir a boca, enquanto seus lábios foram selados com cola",Abrir a boca
0,"A alimentação acontece através da filtração, em que o animal abre a boca e nada para frente, empurrando água e comida para a boca",Abrir a boca
0,"O Inostrancevia tinha uma mandíbula flexível e conseguia abrir a boca num ângulo alargado, semelhante ao do tigre-dentes-de-sabre",Abrir a boca
0,"Por causa do Pussygate, Trump sequer chegará lá porque, se chegar, toda vez que ele abrir a boca o mundo precisará tirar as crianças da sala",Abrir a boca
1,Em nenhum momento nós abrimos a boca contra o ProUni,Abrir a boca
1,"E mesmo que seus algozes não queiram trocar acusações por redução de pena, o deputado cassado ainda pode abrir a boca",Abrir a boca
1,"Para o favelado abrir a boca, é choque e porrada. O rico, se falar a verdade, ganha recompensa",Abrir a boca
1,É ocioso dizer que o senador abriu a boca por vingança depois de ser afastado do PT,Abrir a boca
1,Todo mundo morria de rir quando eu abria a boca E eu pensava: vou ganhar dinheiro com isso quando eu crescer,Abrir a boca
0,"A incubação leva de 15 a 18 dias, e os filhotes eclodem nus e cegos, sem abrir os olhos por pelo menos duas semanas",Abrir os olhos
0,Às vezes o ambiente tem tantos incentivos que acaba por prejudicar o sono da criança. Ela abre os olhos e entra em pânico,Abrir os olhos
0,"Naquela noite, sob a lua cheia, ele me trouxe até o oásis e me colocaram no lago Meu cabelo negro se tornou branco, eu abri os olhos e comecei a chorar",Abrir os olhos
0,Ela não se mexeu desde que chegou aqui. Sequer abriu os olhos ,Abrir os olhos
